countries_and_territories,country_territory_code,month,pop_data_2019,new_confirmed_cases,new_daily_deaths,confirmed_cases,deaths
Afghanistan,AFG,5,38041757,12576,189,14525,249
Afghanistan,AFG,6,38041757,16713,484,31238,733
Afghanistan,AFG,7,38041757,5304,538,36542,1271
Afghanistan,AFG,8,38041757,1620,131,38162,1402
Afghanistan,AFG,11,38041757,1978,90,43403,1626
Armenia,ARM,5,2957728,7216,99,9282,131
Armenia,ARM,6,2957728,16260,312,25542,443
Armenia,ARM,7,2957728,13008,295,38550,738
Armenia,ARM,10,2957728,39912,383,89813,1341
Armenia,ARM,11,2957728,28073,447,117886,1788
Argentina,ARG,4,44780675,3306,190,4272,214
Argentina,ARG,5,44780675,11929,314,16201,528
Argentina,ARG,6,44780675,46054,752,62255,1280
Argentina,ARG,7,44780675,116728,2031,178983,3311
Argentina,ARG,8,44780675,222243,5090,401226,8401
Argentina,ARG,9,44780675,335370,8118,736596,16519
Argentina,ARG,10,44780675,420570,14273,1157166,30792
Argentina,ARG,11,44780675,153310,4644,1310476,35436
Austria,AUT,3,8858775,9611,108,9618,108
Austria,AUT,4,8858775,5746,472,15364,580
Austria,AUT,5,8858775,1274,88,16638,668
Austria,AUT,10,8858775,56836,283,101443,1079
Austria,AUT,11,8858775,102051,600,203494,1679
Australia,AUS,8,25203200,9367,422,25670,611
Australia,AUS,9,25203200,1393,271,27063,882
Azerbaijan,AZE,11,10047719,21514,249,75688,967
Bosnia_and_Herzegovina,BIH,7,3300998,7101,145,11444,328
Bosnia_and_Herzegovina,BIH,8,3300998,8345,264,19789,592
Bosnia_and_Herzegovina,BIH,9,3300998,7433,244,27222,836
Bosnia_and_Herzegovina,BIH,10,3300998,20931,376,48153,1212
Bosnia_and_Herzegovina,BIH,11,3300998,22747,645,70900,1857
Bangladesh,BGD,4,163046173,7054,158,7103,163
Bangladesh,BGD,5,163046173,37505,447,44608,610
Bangladesh,BGD,6,163046173,97193,1173,141801,1783
Bangladesh,BGD,7,163046173,93088,1300,234889,3083
Bangladesh,BGD,8,163046173,75933,1165,310822,4248
Bangladesh,BGD,9,163046173,51221,971,362043,5219
Bangladesh,BGD,10,163046173,44321,686,406364,5905
Bangladesh,BGD,11,163046173,25969,289,432333,6194
Belgium,BEL,3,11455519,15295,1170,15296,1170
Belgium,BEL,4,11455519,34644,6608,49940,7778
Belgium,BEL,5,11455519,8977,1576,58917,9354
Belgium,BEL,6,11455519,2969,278,61886,9632
Belgium,BEL,10,11455519,319941,1651,442308,11675
Belgium,BEL,11,11455519,93535,2746,535843,14421
Bulgaria,BGR,8,7000039,4770,239,16190,613
Bulgaria,BGR,9,7000039,4357,201,20547,814
Bulgaria,BGR,10,7000039,30494,440,51041,1254
Bulgaria,BGR,11,7000039,47210,876,98251,2130
Bolivia,BOL,5,11513102,8482,251,9592,310
Bolivia,BOL,6,11513102,22533,761,32125,1071
Bolivia,BOL,7,11513102,43109,1823,75234,2894
Bolivia,BOL,8,11513102,40734,2072,115968,4966
Bolivia,BOL,9,11513102,18673,2965,134641,7931
Bolivia,BOL,10,11513102,6990,784,141631,8715
Brazil,BRA,3,211049519,4578,159,4579,159
Brazil,BRA,4,211049519,73583,5307,78162,5466
Brazil,BRA,5,211049519,420278,23368,498440,28834
Brazil,BRA,6,211049519,869755,29480,1368195,58314
Brazil,BRA,7,211049519,1241907,32949,2610102,91263
Brazil,BRA,8,211049519,1252209,29565,3862311,120828
Brazil,BRA,9,211049519,915211,22093,4777522,142921
Brazil,BRA,10,211049519,739136,16556,5516658,159477
Brazil,BRA,11,211049519,332301,6181,5848959,165658
Canada,CAN,3,37411038,7408,89,7424,89
Canada,CAN,4,37411038,44163,2907,51587,2996
Canada,CAN,5,37411038,38592,4077,90179,7073
Canada,CAN,6,37411038,13728,1493,103907,8566
Canada,CAN,7,37411038,11878,363,115785,8929
Canada,CAN,8,37411038,12155,188,127940,9117
Canada,CAN,10,37411038,75038,819,231999,10110
Canada,CAN,11,37411038,64078,843,296077,10953
Democratic_Republic_of_the_Congo,COD,10,86790568,675,35,11305,306
Congo,COG,8,5380504,603,22,3979,78
Switzerland,CHE,3,8544527,15400,295,15412,295
Switzerland,CHE,4,8544527,13912,1112,29324,1407
Switzerland,CHE,5,8544527,1438,249,30762,1656
Switzerland,CHE,10,8544527,100977,254,153728,2035
Switzerland,CHE,11,8544527,102458,921,256186,2956
Chile,CHL,5,18952035,79973,781,94858,997
Chile,CHL,6,18952035,181141,4578,275999,5575
Chile,CHL,7,18952035,77537,3802,353536,9377
Chile,CHL,8,18952035,56438,1867,409974,11244
Chile,CHL,9,18952035,51326,1481,461300,12725
Chile,CHL,10,18952035,47271,1433,508571,14158
Chile,CHL,11,18952035,22702,661,531273,14819
Cameroon,CMR,4,25876387,1690,59,1832,61
Cameroon,CMR,5,25876387,4072,130,5904,191
Cameroon,CMR,6,25876387,6688,122,12592,313
Cameroon,CMR,7,25876387,4663,74,17255,387
China,CHN,1,1433783692,9687,213,9714,213
China,CHN,2,1433783692,69641,2624,79355,2837
China,CHN,3,1433783692,2886,472,82241,3309
China,CHN,4,1433783692,1703,1328,83944,4637
Colombia,COL,4,50339443,5413,264,6211,278
Colombia,COL,5,50339443,22025,612,28236,890
Colombia,COL,6,50339443,66807,2333,95043,3223
Colombia,COL,7,50339443,190977,6587,286020,9810
Colombia,COL,8,50339443,321918,9554,607938,19364
Colombia,COL,9,50339443,216104,6464,824042,25828
Colombia,COL,10,50339443,239109,5307,1063151,31135
Colombia,COL,11,50339443,135595,2896,1198746,34031
Costa_Rica,CRI,8,5047561,22409,278,39699,418
Costa_Rica,CRI,9,5047561,34905,462,74604,880
Costa_Rica,CRI,10,5047561,34262,491,108866,1371
Costa_Rica,CRI,11,5047561,14357,175,123223,1546
Czechia,CZE,4,10649800,4577,203,7579,227
Czechia,CZE,7,10649800,4537,31,16342,379
Czechia,CZE,9,10649800,43476,213,67843,636
Czechia,CZE,10,10649800,255830,2442,323673,3078
Czechia,CZE,11,10649800,136443,3130,460116,6208
Germany,DEU,3,83019213,61856,583,61913,583
Germany,DEU,4,83019213,97206,5705,159119,6288
Germany,DEU,5,83019213,22363,2212,181482,8500
Germany,DEU,6,83019213,12777,473,194259,8973
Germany,DEU,8,83019213,33683,157,242381,9298
Germany,DEU,9,83019213,46838,190,289219,9488
Germany,DEU,10,83019213,229534,964,518753,10452
Germany,DEU,11,83019213,282574,2095,801327,12547
Denmark,DNK,4,5806081,6431,366,9008,443
Dominican_Republic,DOM,4,10738957,5751,251,6652,293
Dominican_Republic,DOM,6,10738957,14908,235,31816,733
Dominican_Republic,DOM,7,10738957,36099,413,67915,1146
Dominican_Republic,DOM,8,10738957,26326,535,94241,1681
Dominican_Republic,DOM,9,10738957,17659,420,111900,2101
Algeria,DZA,4,43053054,3264,409,3848,444
Algeria,DZA,6,43053054,4304,259,13571,905
Algeria,DZA,7,43053054,16260,295,29831,1200
Algeria,DZA,10,43053054,6283,230,57651,1956
Algeria,DZA,11,43053054,10028,198,67679,2154
Ecuador,ECU,4,17373657,22709,821,24675,883
Ecuador,ECU,5,17373657,13896,2451,38571,3334
Ecuador,ECU,6,17373657,17094,1168,55665,4502
Ecuador,ECU,7,17373657,28705,1155,84370,5657
Ecuador,ECU,8,17373657,29278,898,113648,6555
Ecuador,ECU,9,17373657,22101,4757,135749,11312
Ecuador,ECU,10,17373657,31398,1320,167147,12632
Ecuador,ECU,11,17373657,13148,376,180295,13008
Egypt,EGY,4,100388076,4659,340,5268,380
Egypt,EGY,5,100388076,18181,533,23449,913
Egypt,EGY,6,100388076,43305,1959,66754,2872
Egypt,EGY,7,100388076,27003,1902,93757,4774
Egypt,EGY,8,100388076,4970,625,98727,5399
Egypt,EGY,9,100388076,4352,515,103079,5914
Egypt,EGY,10,100388076,4297,344,107376,6258
Egypt,EGY,11,100388076,3391,195,110767,6453
Greece,GRC,10,10724599,19073,232,37196,620
Greece,GRC,11,10724599,37009,486,74205,1106
Spain,ESP,3,46937060,104213,7340,104267,7340
Spain,ESP,4,46937060,110916,17203,215183,24543
Spain,ESP,5,46937060,24246,2584,239429,28752
Spain,ESP,6,46937060,9842,1228,249271,28355
Spain,ESP,7,46937060,39251,90,288522,28445
Spain,ESP,8,46937060,174336,649,462858,29094
Spain,ESP,9,46937060,306330,2697,769188,31791
Spain,ESP,10,46937060,416490,4087,1185678,35878
Spain,ESP,11,46937060,272913,4891,1458591,40769
Ethiopia,ETH,7,112078727,10769,160,16615,263
Ethiopia,ETH,8,112078727,34507,530,51122,793
Ethiopia,ETH,9,112078727,23462,398,74584,1191
Ethiopia,ETH,10,112078727,21205,273,95789,1464
Finland,FIN,4,5517919,3593,193,4906,206
France,FRA,3,67012883,44493,3022,44550,3024
France,FRA,4,67012883,83892,21063,128442,24087
France,FRA,5,67012883,23054,4684,151496,28771
France,FRA,6,67012883,12764,1042,164260,29813
France,FRA,7,67012883,22313,441,186573,30254
France,FRA,8,67012883,91370,352,277943,30606
France,FRA,9,67012883,272747,1287,550690,31893
France,FRA,10,67012883,781294,4672,1331984,36565
France,FRA,11,67012883,649843,7983,1981827,44548
Georgia,GEO,10,3996762,33070,274,38936,307
Georgia,GEO,11,3996762,43899,426,82835,733
Ghana,GHA,6,30417858,9583,77,17351,112
Gambia,GMB,8,2347696,2560,88,2963,96
Equatorial_Guinea,GNQ,6,1355982,695,20,2001,32
Equatorial_Guinea,GNQ,7,1355982,1070,19,3071,51
Equatorial_Guinea,GNQ,8,1355982,1870,32,4941,83
Guatemala,GTM,6,17581476,12670,644,17409,746
Guatemala,GTM,7,17581476,31417,1121,48826,1867
Guatemala,GTM,8,17581476,25086,873,73912,2740
Guatemala,GTM,9,17581476,17056,498,90968,3238
Guatemala,GTM,10,17581476,16371,476,107339,3714
Guatemala,GTM,11,17581476,7546,218,114885,3932
Honduras,HND,6,9746115,13724,284,18818,485
Honduras,HND,7,9746115,22608,827,41426,1312
Honduras,HND,8,9746115,18748,546,60174,1858
Honduras,HND,9,9746115,15924,465,76098,2323
Honduras,HND,10,9746115,20790,346,96888,2669
Honduras,HND,11,9746115,6214,154,103102,2823
Croatia,HRV,10,4076246,30167,256,46547,531
Croatia,HRV,11,4076246,37659,518,84206,1049
Hungary,HUN,4,9772756,2283,296,2775,312
Hungary,HUN,10,9772756,48860,985,75321,1750
Hungary,HUN,11,9772756,72135,1440,147456,3190
Indonesia,IDN,3,270625567,1414,122,1414,122
Indonesia,IDN,4,270625567,8357,662,9771,784
Indonesia,IDN,5,270625567,16002,789,25773,1573
Indonesia,IDN,6,270625567,29319,1232,55092,2805
Indonesia,IDN,7,270625567,51244,2253,106336,5058
Indonesia,IDN,8,270625567,65717,2285,172053,7343
Indonesia,IDN,9,270625567,110671,3258,282724,10601
Indonesia,IDN,10,270625567,124221,3181,406945,13782
Indonesia,IDN,11,270625567,60168,1429,467113,15211
Ireland,IRL,3,4904240,2910,54,2910,54
Ireland,IRL,4,4904240,17343,1136,20253,1190
Ireland,IRL,5,4904240,4676,460,24929,1650
Ireland,IRL,10,4904240,25319,105,61059,1908
Ireland,IRL,11,4904240,6844,71,67903,1979
Israel,ISR,4,8519373,11361,198,15834,215
Israel,ISR,8,8519373,43641,416,114020,919
Israel,ISR,9,8519373,122906,609,236926,1528
Israel,ISR,10,8519373,76775,986,313701,2514
Israel,ISR,11,8519373,10434,218,324135,2732
India,IND,4,1366417756,31799,1042,33050,1074
India,IND,5,1366417756,149093,4090,182143,5164
India,IND,6,1366417756,384697,11729,566840,16893
India,IND,7,1366417756,1072030,18854,1638870,35747
India,IND,8,1366417756,1982375,28722,3621245,64469
India,IND,9,1366417756,2604518,33028,6225763,97497
India,IND,10,1366417756,1911356,24144,8137119,121641
India,IND,11,1366417756,708008,8429,8845127,130070
Iraq,IRQ,6,39309789,40972,1644,47151,1839
Iraq,IRQ,7,39309789,74112,2832,121263,4671
Iraq,IRQ,8,39309789,109914,2288,231177,6959
Iraq,IRQ,9,39309789,127113,2163,358290,9122
Iraq,IRQ,10,39309789,112343,1740,470633,10862
Iraq,IRQ,11,39309789,48519,808,519152,11670
Iran,IRN,3,82913893,41107,2723,41495,2757
Iran,IRN,4,82913893,52162,3200,93657,5957
Iran,IRN,5,82913893,55293,1777,148950,7734
Iran,IRN,6,82913893,76255,2936,225205,10670
Iran,IRN,7,82913893,76325,5899,301530,16569
Iran,IRN,8,82913893,72040,4893,373570,21462
Iran,IRN,9,82913893,80067,4524,453637,25986
Iran,IRN,10,82913893,151315,8492,604952,34478
Iran,IRN,11,82913893,157116,7015,762068,41493
Italy,ITA,3,60359546,100851,11570,101739,11591
Italy,ITA,4,60359546,101852,16091,203591,27682
Italy,ITA,5,60359546,29073,5658,232664,33340
Italy,ITA,6,60359546,7772,1404,240436,34744
Italy,ITA,7,60359546,6722,388,247158,35132
Italy,ITA,8,60359546,21060,345,268218,35477
Italy,ITA,9,60359546,44793,398,313011,35875
Italy,ITA,10,60359546,334663,2446,647674,38321
Italy,ITA,11,60359546,530855,6908,1178529,45229
Jordan,JOR,10,10101697,59257,715,69306,772
Jordan,JOR,11,10101697,74372,1000,143678,1772
Japan,JPN,4,126860299,12135,359,14088,415
Japan,JPN,5,126860299,2763,476,16851,891
Japan,JPN,6,126860299,1742,81,18593,972
Japan,JPN,8,126860299,34091,274,67865,1279
Japan,JPN,9,126860299,15145,285,83010,1564
Japan,JPN,10,126860299,17382,191,100392,1755
Japan,JPN,11,126860299,16285,128,116677,1883
Kenya,KEN,7,52573967,13723,181,19913,325
Kenya,KEN,8,52573967,14144,249,34057,574
Kenya,KEN,10,52573967,15419,274,53797,981
Kenya,KEN,11,52573967,16448,288,70245,1269
Kyrgyzstan,KGZ,7,6415851,30509,1321,35805,1378
Kyrgyzstan,KGZ,8,6415851,8093,-320,43898,1500
Kazakhstan,KAZ,6,18551428,10961,150,21819,188
Kazakhstan,KAZ,7,18551428,67259,605,89078,793
Kazakhstan,KAZ,8,18551428,41595,988,130673,1781
Kazakhstan,KAZ,9,18551428,10034,297,140707,2078
Kazakhstan,KAZ,10,18551428,8992,148,149699,2226
Kazakhstan,KAZ,11,18551428,13868,93,163567,2319
Lebanon,LBN,9,6855709,21507,201,38377,361
Lebanon,LBN,10,6855709,41152,264,79529,625
Lebanon,LBN,11,6855709,25901,192,105430,817
Liberia,LBR,7,4937374,411,37,1181,73
Lithuania,LTU,11,2794184,20935,120,34758,277
Libya,LBY,9,6777453,20591,308,34014,540
Libya,LBY,10,6777453,26614,307,60628,847
Libya,LBY,11,6777453,12974,170,73602,1017
Morocco,MAR,4,36471766,3765,135,4321,168
Morocco,MAR,8,36471766,38140,765,61399,1111
Morocco,MAR,9,36471766,59784,1041,121183,2152
Morocco,MAR,10,36471766,94111,1473,215294,3625
Morocco,MAR,11,36471766,77883,1154,293177,4779
Moldova,MDA,6,4043258,8259,245,16357,536
Moldova,MDA,8,4043258,12753,221,36700,992
Moldova,MDA,9,4043258,15329,318,52029,1310
Moldova,MDA,10,4043258,23172,456,75201,1766
Moldova,MDA,11,4043258,14078,253,89279,2019
North_Macedonia,MKD,7,2077132,4399,182,10623,480
North_Macedonia,MKD,9,2077132,3859,153,17786,737
North_Macedonia,MKD,10,2077132,12662,245,30448,982
North_Macedonia,MKD,11,2077132,16602,323,47050,1305
Myanmar,MMR,9,54045422,11638,278,12425,284
Myanmar,MMR,10,54045422,39071,935,51496,1219
Myanmar,MMR,11,54045422,17498,358,68994,1577
Mauritania,MRT,6,4525698,3666,105,4149,126
Mexico,MEX,4,127575529,25776,1704,28222,1732
Mexico,MEX,5,127575529,87607,8047,115829,9779
Mexico,MEX,6,127575529,149681,17342,265510,27121
Mexico,MEX,7,127575529,209885,18879,475395,46000
Mexico,MEX,8,127575529,166047,18158,641442,64158
Mexico,MEX,9,127575529,142632,13005,784074,77163
Mexico,MEX,10,127575529,134737,14126,918811,91289
Mexico,MEX,11,127575529,87711,7253,1006522,98542
Nigeria,NGA,5,200963603,8127,222,9855,273
Nigeria,NGA,6,200963603,15278,300,25133,573
Nigeria,NGA,7,200963603,17556,305,42689,878
Nigeria,NGA,8,200963603,11176,135,53865,1013
Nigeria,NGA,9,200963603,4782,98,58647,1111
Nicaragua,NIC,5,6545503,745,31,759,35
Netherlands,NLD,3,17282163,11748,864,11750,864
Netherlands,NLD,4,17282163,27052,3847,38802,4711
Netherlands,NLD,5,17282163,7455,1240,46257,5951
Netherlands,NLD,6,17282163,3966,156,50223,6107
Netherlands,NLD,9,17282163,47349,169,117420,6384
Netherlands,NLD,10,17282163,223554,951,340974,7335
Netherlands,NLD,11,17282163,106361,1140,447335,8475
Nepal,NPL,8,28608715,19014,169,38561,221
Nepal,NPL,9,28608715,37697,270,76258,491
Nepal,NPL,10,28608715,91977,429,168235,920
Nepal,NPL,11,28608715,41541,301,209776,1221
Oman,OMN,7,4974992,40099,252,79159,421
Oman,OMN,8,4974992,6385,256,85544,677
Oman,OMN,9,4974992,13041,258,98585,935
Oman,OMN,10,4974992,15849,273,114434,1208
Oman,OMN,11,4974992,5955,130,120389,1338
Panama,PAN,6,4246440,19767,290,32785,620
Panama,PAN,7,4246440,31406,777,64191,1397
Panama,PAN,8,4246440,27874,598,92065,1995
Panama,PAN,9,4246440,19788,369,111853,2364
Panama,PAN,10,4246440,21014,324,132867,2688
Panama,PAN,11,4246440,13786,185,146653,2873
Peru,PER,4,32510462,32981,919,33931,943
Peru,PER,5,32510462,121740,3428,155671,4371
Peru,PER,6,32510462,126694,5133,282365,9504
Peru,PER,7,32510462,125127,9517,407492,19021
Peru,PER,8,32510462,239674,9767,647166,28788
Peru,PER,9,32510462,164602,3608,811768,32396
Peru,PER,10,32510462,88412,2015,900180,34411
Peru,PER,11,32510462,36831,820,937011,35231
Philippines,PHL,3,108116622,2081,87,2084,88
Philippines,PHL,4,108116622,6128,470,8212,558
Philippines,PHL,5,108116622,9012,392,17224,950
Philippines,PHL,6,108116622,19214,305,36438,1255
Philippines,PHL,7,108116622,52936,728,89374,1983
Philippines,PHL,8,108116622,128022,1537,217396,3520
Philippines,PHL,9,108116622,91907,1928,309303,5448
Philippines,PHL,10,108116622,69630,1737,378933,7185
Philippines,PHL,11,108116622,28905,647,407838,7832
Pakistan,PAK,4,216565317,14134,328,15759,346
Pakistan,PAK,5,216565317,53737,1137,69496,1483
Pakistan,PAK,6,216565317,139841,2821,209337,4304
Pakistan,PAK,7,216565317,68968,1647,278305,5951
Pakistan,PAK,8,216565317,17544,343,295849,6294
Pakistan,PAK,9,216565317,16414,185,312263,6479
Pakistan,PAK,10,216565317,20730,327,332993,6806
Pakistan,PAK,11,216565317,26039,354,359032,7160
Poland,POL,4,37972812,10585,593,12640,624
Poland,POL,5,37972812,10931,437,23571,1061
Poland,POL,6,37972812,10583,383,34154,1444
Poland,POL,7,37972812,10877,265,45031,1709
Poland,POL,8,37972812,21839,324,66870,2033
Poland,POL,9,37972812,23092,450,89962,2483
Poland,POL,10,37972812,250872,2868,340834,5351
Poland,POL,11,37972812,372138,4997,712972,10348
Puerto_Rico,PRI,8,2933404,16276,220,32848,434
Puerto_Rico,PRI,9,2933404,15619,220,48467,654
Puerto_Rico,PRI,10,2933404,17276,166,65743,820
Puerto_Rico,PRI,11,2933404,12281,115,78024,935
Palestine,PSE,9,4981422,21052,194,50115,360
Palestine,PSE,11,4981422,10584,88,75326,640
Portugal,PRT,3,10276617,6408,140,6408,140
Portugal,PRT,4,10276617,18284,849,24692,989
Portugal,PRT,5,10276617,7511,407,32203,1396
Portugal,PRT,6,10276617,9709,172,41912,1568
Portugal,PRT,10,10276617,62555,505,137272,2468
Portugal,PRT,11,10276617,80029,913,217301,3381
Paraguay,PRY,8,7044639,11988,261,17195,308
Paraguay,PRY,9,7044639,22906,533,40101,841
Paraguay,PRY,10,7044639,22495,546,62596,1387
Paraguay,PRY,11,7044639,8978,200,71574,1587
Romania,ROU,4,19414458,10026,631,11978,675
Romania,ROU,5,19414458,7155,578,19133,1253
Romania,ROU,6,19414458,7449,381,26582,1634
Romania,ROU,7,19414458,23009,670,49591,2304
Romania,ROU,8,19414458,37194,1274,86785,3578
Romania,ROU,9,19414458,38629,1214,125414,4792
Romania,ROU,10,19414458,110172,2075,235586,6867
Romania,ROU,11,19414458,124695,2059,360281,8926
Serbia,SRB,7,6963764,10925,291,25213,565
Serbia,SRB,11,6963764,39431,195,84568,1009
Russia,RUS,4,145872260,97563,962,99399,972
Russia,RUS,5,145872260,297176,3583,396575,4555
Russia,RUS,6,145872260,244581,4611,641156,9166
Russia,RUS,7,145872260,193343,4636,834499,13802
Russia,RUS,8,145872260,155827,3291,990326,17093
Russia,RUS,9,145872260,177479,3452,1167805,20545
Russia,RUS,10,145872260,432171,7111,1599976,27656
Russia,RUS,11,145872260,325849,5530,1925825,33186
Saudi_Arabia,SAU,5,34268529,61982,323,83384,480
Saudi_Arabia,SAU,6,34268529,103052,1119,186436,1599
Saudi_Arabia,SAU,7,34268529,87783,1267,274219,2866
Saudi_Arabia,SAU,8,34268529,40602,1004,314821,3870
Saudi_Arabia,SAU,9,34268529,19366,869,334187,4739
Saudi_Arabia,SAU,10,34268529,12693,644,346880,5383
Saudi_Arabia,SAU,11,34268529,6375,274,353255,5657
Sudan,SDN,5,42813237,4425,234,4800,262
Sudan,SDN,6,42813237,4458,310,9258,572
Sudan,SDN,7,42813237,2238,153,11496,725
Sudan,SDN,8,42813237,1693,98,13189,823
Sudan,SDN,11,42813237,861,279,14626,1116
